,gene1,gene2,cost,psi
4625,RPL7,RPS25,28.07323374250377,0.36959913571644626
1199,CCDC93,ITM2A,28.167713708896063,0.7391982714328925
2534,FAR1,PTBP1,28.184712084858052,0.36959913571644626
4184,PDIA3,RPL13,28.27557775537203,0.36959913571644626
3798,MON2,PEX2,28.281361675842945,5.543987035746694
3425,L1TD1,PPP1CB,28.375493281873865,0.36959913571644626
1650,CLSPN,RAD51AP1,28.394756290793097,0.36959913571644626
3411,KRI1,TNIK,28.441416132340176,5.543987035746694
2441,ERBB2,PIGK,28.456308976820658,5.543987035746694
4099,ORC4,ZNF471,28.46022638172029,0.36959913571644626
4850,SLTM,VMA21,28.510450066286353,0.36959913571644626
1728,COX6A1,RPS23,28.553522336566267,0.36959913571644626
3330,KIAA2018,MED14,28.56164914817294,5.543987035746694
3709,MED14,USP47,28.562666537807893,5.543987035746694
643,B4GALT1,TMEM181,28.56349066753558,0.7391982714328925
539,ATP1B3,PIGK,28.579273125905512,5.91358617146314
2444,ERBB2,RBM25,28.583953999588374,5.91358617146314
4503,RAD51AP1,SIPA1L1,28.59175630236818,5.91358617146314
4344,PPP1CB,TMEM33,28.64942055775544,0.36959913571644626
3323,KIAA1109,ZNF7,28.678812522187055,5.543987035746694
4816,SLC26A2,TNRC6B,28.76162827354795,5.543987035746694
2466,ETV1,KRI1,28.772029825568904,0.36959913571644626
228,ANO6,RAP2A,28.795905849124953,5.543987035746694
1651,CLSPN,SMC2,28.803460844655046,0.36959913571644626
3560,LRRC42,ZFC3H1,28.83911696549497,5.543987035746694
3447,LAMC1,TARBP1,28.875988308249553,5.543987035746694
2669,FXR1,TNRC6B,28.90264831671311,0.36959913571644626
1725,COX6A1,RPL23A,28.957876009802806,0.36959913571644626
2918,HEATR1,KIF15,28.975298018162515,5.91358617146314
2447,ERBB2,TRIML2,29.049673024630483,0.36959913571644626
3716,MELK,NCAPD2,29.086847022016414,5.91358617146314
433,ARNT,PATZ1,29.109459129719852,5.543987035746694
3595,LYN,PTBP1,29.1104417301242,5.543987035746694
1938,DDX11,RAB3B,29.127259108249515,0.36959913571644626
4787,SIPA1L1,TNIK,29.133598664570556,5.543987035746694
2666,FXR1,SLTM,29.158118817875362,5.91358617146314
432,ARNT,DMXL1,29.161991375427476,0.7391982714328925
3647,MARCKS,SRP9,29.167089968735578,0.36959913571644626
2660,FXR1,RAP2A,29.171694880666408,5.91358617146314
4206,PEX2,TNRC6B,29.215133538750198,0.36959913571644626
3701,MED14,PTPN4,29.25226191009404,5.543987035746694
4896,SPTY2D1,TAC3,29.261840593988683,5.543987035746694
4990,TMEM181,XBP1,29.402092205035892,0.7391982714328925
2600,FMNL3,UBN2,29.40267589132012,5.543987035746694
1434,CDK14,PTBP1,29.442743278377463,0.7391982714328925
1690,COMMD2,YME1L1,29.445251728059024,0.36959913571644626
750,BOD1L,ORC4,29.469378827339607,0.36959913571644626
1629,CLASP2,SPTY2D1,29.47888436120899,5.543987035746694
3263,ITM2A,LAMC1,29.48185610738625,0.7391982714328925
3131,HSP90B1,OSTC,29.491546457055428,0.36959913571644626
268,ANP32E,TLK1,29.540470488008086,5.91358617146314
556,ATRX,ODF2L,29.573762074495885,0.36959913571644626
2858,GTF2A2,VMA21,29.620073079611682,0.36959913571644626
1183,CCDC141,TTN,29.64702596466003,5.91358617146314
3233,INTS12,PHLDA1,29.69657696123642,5.543987035746694
2791,GNG4,PNMA1,29.759599866271916,5.543987035746694
678,BCAT1,MARCKS,29.773181141501915,0.36959913571644626
4264,PITPNA,ZNF160,29.790786539280806,5.543987035746694
3540,LPIN3,RAB3B,29.795596728447784,5.543987035746694
2182,EEF1A1,ENO1,29.803052687403266,0.36959913571644626
2493,FAM124A,SORBS1,29.81224385203082,5.543987035746694
922,C12orf35,MTRNR2L6,29.81272285468305,5.91358617146314
1745,COX6C,RPL41,29.828145958527667,0.36959913571644626
2667,FXR1,SMC2,29.83140242205505,0.36959913571644626
1645,CLSPN,MED14,29.83568781810205,5.543987035746694
564,ATRX,TMEM212,29.922339619764358,0.36959913571644626
3315,KIAA1033,PHLDA1,29.92946173256005,0.7391982714328925
4533,RBM33,UBR1,29.931291523131993,5.543987035746694
131,AGL,RAB3B,29.93996463933572,0.36959913571644626
1572,CHD9,MCMBP,30.035146138908534,5.543987035746694
1876,DAAM1,WDFY3,30.072982505651723,5.543987035746694
4814,SLC16A1,TNRC6B,30.090447438454216,0.36959913571644626
803,BTBD3,SCAF4,30.103073962851216,0.7391982714328925
42,ACACA,PIGK,30.107886815866188,0.7391982714328925
4458,PTPN4,TMEM181,30.116022809220848,5.543987035746694
959,C1orf109,CLASP2,30.142674838469567,0.7391982714328925
4967,THOC5,ZNF160,30.17334175848704,5.543987035746694
2086,DNMT3A,MGST3,30.17525339211426,0.36959913571644626
4413,PSMD1,PSMD11,30.183040414691526,0.36959913571644626
3710,MED14,XBP1,30.19496529909951,5.543987035746694
1026,CALB1,NXT2,30.207860268330652,5.543987035746694
3707,MED14,SRSF4,30.221452739446274,0.7391982714328925
802,BTBD3,RAP2A,30.24053964821873,5.543987035746694
4887,SPATS2L,TNKS,30.283472912753247,5.543987035746694
2335,EIF4E,TLK1,30.340001740686848,0.36959913571644626
1627,CLASP2,ITCH,30.41211143810008,5.543987035746694
3324,KIAA1429,MTMR6,30.456572684189137,5.543987035746694
271,ANP32E,TRA2B,30.54568993621078,5.91358617146314
961,C1orf109,PPM1A,30.55514460733374,0.7391982714328925
4682,SACM1L,ZDHHC20,30.560065747921666,0.7391982714328925
1138,CASC5,VPS13C,30.564904067753023,5.543987035746694
3321,KIAA1109,TTC21B,30.573080581766114,5.543987035746694
4056,NUS1,THUMPD2,30.60705239012193,5.543987035746694
2899,H3F3A,RPS25,30.62034440174999,0.36959913571644626
3312,KIAA0528,SLC19A2,30.638678552664935,0.7391982714328925
640,B4GALT1,RAB3B,30.639260321691914,5.91358617146314
4899,SRFBP1,TNRC6B,30.65610361507394,0.36959913571644626
1500,CENPK,TSTD1,30.667048521007313,0.36959913571644626
3339,KIF15,NPAT,30.674831372542968,0.36959913571644626
257,ANP32E,PTBP2,30.676187327665872,0.36959913571644626
1636,CLK1,ZNF277,30.676689214026553,5.543987035746694
2661,FXR1,SLC16A1,30.684491537063238,5.91358617146314
4123,PA2G4,RBM25,30.69748768651374,5.91358617146314
4813,SLC16A1,TMEM212,30.70945343439003,0.36959913571644626
3698,MED14,PLDN,30.73619700668662,5.543987035746694
4072,OBFC2A,STC1,30.818694858947147,0.7391982714328925
995,C5orf44,PCNX,30.824531062642716,5.543987035746694
3212,IL17RD,KCTD9,30.824621882511895,5.543987035746694
2656,FXR1,HDGFRP3,30.845498309053088,0.36959913571644626
249,ANP32E,MARCKS,30.847828519762295,0.36959913571644626
1613,CKAP4,ORMDL2,30.861315512180617,5.91358617146314
2891,H3F3A,PSMB2,30.927468228148253,0.36959913571644626
2921,HEATR1,TAC3,30.931774836985277,5.543987035746694
552,ATRX,CFLAR,30.973684694524426,0.36959913571644626
1661,CMTM6,MED14,30.97772323591853,0.7391982714328925
3446,LAMC1,NF1,30.98144170702997,5.543987035746694
5056,ZNF621,ZNF780A,30.99930180232592,0.7391982714328925
4624,RPL7,RPS23,30.99937229091839,0.36959913571644626
703,BCAT1,TMEM33,31.02459327733425,5.91358617146314
732,BNC2,CCDC82,31.033369431999123,5.543987035746694
3272,JAM3,MELK,31.03391503099743,5.543987035746694
269,ANP32E,TMEM33,31.03987387044824,0.36959913571644626
1294,CCNK,SRFBP1,31.065152790305472,0.36959913571644626
3995,NFRKB,RFX5,31.0713097592398,5.543987035746694
2751,GDPD2,WDR20,31.08046247961407,5.543987035746694
3041,HNRNPA2B1,MARCKS,31.128103310837982,0.36959913571644626
192,AMOTL2,PHYH,31.1648681084056,0.7391982714328925
3288,KCTD20,PGM2,31.180404572134314,5.543987035746694
3194,IFT80,MED14,31.184410640090718,5.543987035746694
914,C11orf82,KIAA1109,31.205311744297145,0.7391982714328925
3348,KIF20A,NFYA,31.218783047121445,5.543987035746694
3669,MBTD1,TMEM181,31.22094747594895,5.543987035746694
4893,SPTBN1,TMEM212,31.256806051953284,5.91358617146314
4199,PDK3,PRDM2,31.260417903593602,5.543987035746694
2828,GPR125,MAPKAPK3,31.275062538347893,0.7391982714328925
4860,SMC2,VMA21,31.355059196518877,0.36959913571644626
4841,SLC44A2,SORT1,31.358681450284617,5.543987035746694
4483,RAB3B,SLC29A1,31.361329047070424,0.36959913571644626
357,ARF6,TMEM33,31.362822143284983,0.36959913571644626
2840,GRHL2,TMEM184C,31.400410376591463,5.543987035746694
3137,HSP90B1,SLC29A1,31.402174448472543,5.91358617146314
3130,HSP90B1,MTRNR2L6,31.424703628250306,0.36959913571644626
2433,EPT1,TES,31.43133674222662,0.7391982714328925
5045,VPS13B,ZXDC,31.455969976697734,0.7391982714328925
1747,COX6C,RPS23,31.47240446074984,0.36959913571644626
555,ATRX,MTRNR2L6,31.500531514725555,0.36959913571644626
639,B4GALT1,PTPN4,31.503211704900117,5.543987035746694
1716,COX20,PA2G4,31.513865049817483,0.36959913571644626
1729,COX6A1,RPS25,31.518980263227803,0.36959913571644626
559,ATRX,SLC16A1,31.524069831748047,0.36959913571644626
3517,LETMD1,PRICKLE2,31.560114680983602,5.543987035746694
3980,NDUFA13,RPS23,31.56104037282875,5.91358617146314
4976,TLK1,TMEM33,31.58127909685314,0.36959913571644626
2184,EEF1A1,GAPDH,31.588706748530893,0.36959913571644626
4428,PTBP2,RRP15,31.611529182475664,0.36959913571644626
1553,CGGBP1,UACA,31.64013523765446,5.543987035746694
500,ASTN2,TIGD1,31.643108118231854,5.91358617146314
905,BZW1,SRP9,31.66559616734815,0.36959913571644626
3286,KATNA1,MYLIP,31.6710263291004,0.7391982714328925
188,AMOTL2,MLF1,31.677628811219392,5.543987035746694
4461,PTPRD,RANBP17,31.67881769207447,5.543987035746694
3320,KIAA1109,TIMELESS,31.704865481191984,5.543987035746694
2471,ETV1,VMA21,31.709580750251465,0.36959913571644626
3978,NDUFA13,RPL41,31.720720783903616,0.36959913571644626
1429,CDK1,UBE2C,31.728567458814283,0.36959913571644626
4261,PIR,THAP6,31.75285372240776,5.543987035746694
3192,IFT122,UHRF1BP1L,31.75781395802994,0.7391982714328925
4263,PITPNA,USP47,31.77194663628624,5.543987035746694
3468,LARP7,RPL41,31.77449308983676,0.36959913571644626
4837,SLC39A14,SRFBP1,31.77754932671168,0.36959913571644626
3338,KIF15,MMP2,31.777879363136417,5.543987035746694
601,AURKA,TOP2A,31.788156931981693,5.91358617146314
4983,TM9SF3,TNRC6B,31.798544669154726,0.36959913571644626
1576,CHD9,SHQ1,31.800200998551635,5.543987035746694
1198,CCDC93,FXR1,31.80867252643375,5.543987035746694
4457,PTPN4,RAB3B,31.81764360619648,5.543987035746694
2869,GTF3C1,TCN2,31.8201482065828,5.543987035746694
2616,FTH1,NSUN2,31.82691716237957,5.543987035746694
535,ATP1B3,EIF3F,31.830721219569146,0.36959913571644626
1535,CFLAR,MTRNR2L6,31.83282650253009,0.36959913571644626
3132,HSP90B1,PDIA4,31.844676776193996,0.36959913571644626
2135,DSCR3,NELL2,31.878227304334516,5.543987035746694
3475,LARP7,SLC16A1,31.87918424877611,5.91358617146314
5055,ZNF519,ZNF614,31.88536683126829,5.543987035746694
1679,COL1A2,DCAF10,31.891959038332846,5.543987035746694
1135,CASC5,PRKRIR,31.9071703911906,5.543987035746694
2933,HERPUD1,KIAA0196,31.91782643640736,5.543987035746694
793,BSDC1,MRPL35,31.91859719306372,0.7391982714328925
4471,PUS7L,SLC26A2,31.919908284540476,5.543987035746694
3097,HNRNPH1,TMEM33,31.930476952822914,0.36959913571644626
1444,CECR1,SLC25A15,31.93339648229748,5.543987035746694
893,BZW1,HNRNPA2B1,31.957911415732255,0.36959913571644626
1134,CASC5,MSTO1,31.960673905523784,5.543987035746694
4971,TIGD1,ZMYM6NB,32.00076604788871,0.36959913571644626
3705,MED14,SMC2,32.014229706080975,5.543987035746694
2833,GPR98,SLC26A2,32.04308553211129,5.543987035746694
1811,CTSC,PDIA6,32.05939140784423,0.36959913571644626
3028,HNRNPA0,RAB3B,32.089022537041956,5.91358617146314
3467,LARP7,RPL23A,32.13942137649944,0.36959913571644626
1504,CENPO,NUDCD3,32.162939670516614,5.543987035746694
3134,HSP90B1,SCD,32.16737264575408,0.36959913571644626
974,C2orf44,EPM2AIP1,32.17410844160576,5.543987035746694
537,ATP1B3,PDIA3,32.18232856288872,0.36959913571644626
4507,RAD51AP1,ZNF557,32.18520520785108,0.36959913571644626
3376,KLF10,TMEM194A,32.19757544028855,5.543987035746694
1718,COX20,TMEM212,32.216163447664584,0.36959913571644626
213,ANKRD26,RBM48,32.219903572394706,0.7391982714328925
4339,PPP1CB,SRP9,32.23116250746392,0.36959913571644626
4695,SBF2,SLC26A2,32.232707027623114,5.543987035746694
1964,DDX56,ZFP82,32.29341923375295,5.543987035746694
4703,SCD,SLC16A1,32.34676767159053,0.36959913571644626
3714,MED14,ZNF460,32.35087422766918,5.543987035746694
2465,ETV1,GTF3C2,32.35787160663577,0.36959913571644626
379,ARHGAP19,SPTY2D1,32.36358409281043,5.543987035746694
2035,DIDO1,MTRNR2L6,32.386954197010844,5.91358617146314
3078,HNRNPH1,PTBP2,32.389028857628745,0.36959913571644626
4327,PPP1CB,PTBP2,32.42003566789811,0.36959913571644626
4692,SAMHD1,USP47,32.43090335401407,5.543987035746694
